date,name,category,amount,quantity,totalamount
4/8/2025,Packaging Materials,expense,3200,45,144000
4/9/2025,Puma RS-X,sale,41000,4,164000
4/10/2025,Staff Wages,expense,150000,1,150000
4/11/2025,Reebok Club C,sale,33000,4,132000
4/12/2025,Internet/Data,expense,16000,1,16000
4/13/2025,Social Media Ads,expense,32000,1,32000
4/14/2025,Adidas Campus,sale,44000,4,176000
4/15/2025,OPay/Moniepoint Fees,expense,3600,18,64800
4/16/2025,Nike Cortez,sale,36000,4,144000
5/1/2025,Shop Rent,expense,300000,1,300000
5/3/2025,Stock Purchase - Mixed,expense,30000,33,990000
5/4/2025,Nike Pegasus,sale,49000,3,147000
5/5/2025,Vans Old Skool,sale,34000,5,170000
5/6/2025,Adidas Gazelle,sale,38000,4,152000
5/7/2025,Diesel/Generator,expense,22000,1,22000
5/8/2025,Reebok Classic,sale,32000,4,128000
5/9/2025,Air Max 1,sale,54000,2,108000
5/10/2025,NB 990v5,sale,88000,1,88000
5/11/2025,Adidas Superstar,sale,44000,4,176000
5/12/2025,Sales Commission,expense,11000,8,88000
6/1/2025,Shop Rent,expense,300000,1,300000
6/2/2025,Stock Purchase - Mixed,expense,30500,33,1006500
6/3/2025,Air Jordan 11,sale,125000,1,125000
6/4/2025,Air Force 1,sale,40000,5,200000
6/5/2025,Converse One Star,sale,35000,4,140000
6/6/2025,Internet/Data,expense,16000,1,16000
6/7/2025,Packaging Materials,expense,3200,45,144000
6/8/2025,Puma Suede,sale,36000,5,180000
6/9/2025,Adidas Ultraboost,sale,67000,2,134000
6/10/2025,Staff Wages,expense,150000,1,150000
7/1/2025,Shop Rent,expense,300000,1,300000
7/2/2025,Stock Purchase - Mixed,expense,31000,35,1085000
7/3/2025,Nike Dunk Low,sale,54000,4,216000
7/4/2025,Adidas Samba,sale,44000,4,176000
7/5/2025,Air Force 1,sale,42000,5,210000
7/6/2025,Converse Chuck 70,sale,38000,4,152000
7/7/2025,Delivery Fees,expense,6000,6,36000
7/8/2025,New Balance 550,sale,52000,3,156000
7/9/2025,Electricity (PHCN),expense,48000,1,48000
7/10/2025,Packaging Materials,expense,3500,45,157500
7/11/2025,Puma RS-X,sale,43000,4,172000
7/12/2025,Staff Wages,expense,160000,1,160000
7/13/2025,Reebok Club C,sale,34000,4,136000
7/14/2025,Internet/Data,expense,17000,1,17000
7/15/2025,Social Media Ads,expense,35000,1,35000
7/16/2025,Adidas Campus,sale,46000,4,184000
7/17/2025,OPay/Moniepoint Fees,expense,3800,20,76000
7/18/2025,Nike Cortez,sale,38000,4,152000
8/1/2025,Shop Rent,expense,300000,1,300000
8/3/2025,Stock Purchase - Mixed,expense,31500,35,1102500
8/4/2025,Nike Pegasus,sale,51000,3,153000
8/5/2025,Vans Old Skool,sale,36000,5,180000
8/6/2025,Adidas Gazelle,sale,40000,4,160000
8/7/2025,Diesel/Generator,expense,23000,1,23000
8/8/2025,Reebok Classic,sale,33000,4,132000
8/9/2025,Air Max 1,sale,56000,2,112000
8/10/2025,NB 990v5,sale,90000,1,90000
8/11/2025,Adidas Superstar,sale,46000,4,184000
8/12/2025,Sales Commission,expense,12000,8,96000
9/1/2025,Shop Rent,expense,300000,1,300000
9/2/2025,Stock Purchase - Mixed,expense,32000,35,1120000
9/3/2025,Air Jordan 11,sale,130000,1,130000
9/4/2025,Air Force 1,sale,42000,5,210000
9/5/2025,Converse One Star,sale,36000,4,144000
9/6/2025,Internet/Data,expense,17000,1,17000
9/7/2025,Packaging Materials,expense,3300,50,165000
9/8/2025,Puma Suede,sale,38000,5,190000
9/9/2025,Adidas Ultraboost,sale,69000,2,138000
9/10/2025,Staff Wages,expense,160000,1,160000
10/1/2025,Shop Rent,expense,300000,1,300000
10/2/2025,Stock Purchase - Mixed,expense,33000,36,1188000
10/3/2025,Nike Dunk Low,sale,56000,4,224000
10/4/2025,Adidas Samba,sale,46000,4,184000
10/5/2025,Air Force 1,sale,44000,5,220000
10/6/2025,Converse Chuck 70,sale,39000,4,156000
10/7/2025,Delivery Fees,expense,6500,6,39000
10/8/2025,New Balance 550,sale,54000,3,162000
10/9/2025,Electricity (PHCN),expense,50000,1,50000
10/10/2025,Packaging Materials,expense,3500,50,175000
10/11/2025,Puma RS-X,sale,44000,4,176000
10/12/2025,Staff Wages,expense,170000,1,170000
10/13/2025,Reebok Club C,sale,35000,4,140000
10/14/2025,Internet/Data,expense,18000,1,18000
10/15/2025,Social Media Ads,expense,36000,1,36000
10/16/2025,Adidas Campus,sale,48000,4,192000
10/17/2025,OPay/Moniepoint Fees,expense,3800,22,83600
10/18/2025,Nike Cortez,sale,40000,4,160000
11/1/2025,Shop Rent,expense,300000,1,300000
11/3/2025,Stock Purchase - Mixed,expense,33500,36,1206000
11/4/2025,Nike Pegasus,sale,53000,3,159000
11/5/2025,Vans Old Skool,sale,38000,5,190000
11/6/2025,Adidas Gazelle,sale,42000,4,168000
11/7/2025,Diesel/Generator,expense,24000,1,24000
11/8/2025,Reebok Classic,sale,34000,4,136000
11/9/2025,Air Max 1,sale,58000,2,116000
11/10/2025,NB 990v5,sale,92000,1,92000
11/11/2025,Adidas Superstar,sale,48000,4,192000
11/12/2025,Sales Commission,expense,12000,9,108000
12/1/2025,Shop Rent,expense,300000,1,300000
12/2/2025,Stock Purchase - Mixed,expense,34000,38,1292000
12/3/2025,Air Jordan 11,sale,135000,1,135000
12/4/2025,Air Force 1,sale,44000,6,264000
12/5/2025,Converse One Star,sale,38000,5,190000
12/6/2025,Internet/Data,expense,18000,1,18000
12/7/2025,Packaging Materials,expense,3600,55,198000
12/8/2025,Puma Suede,sale,40000,6,240000
12/9/2025,Adidas Ultraboost,sale,71000,2,142000
12/10/2025,Staff Wages,expense,170000,1,170000
